ID,Display Name,Category,Sub-Category,Primary Link,Secondary Link,Author Name,Author Link,Active,Date Added,Last Modified,Last Checked,License,Description,Removed From Origin,Stale,Repo Created,Latest Release,Release Version,Release Source
skill-ca8cbc21,AgentSys,Agent Skills,General,https://github.com/avifenesh/agentsys,,avifenesh,https://github.com/avifenesh,TRUE,2026-02-13:20-35-26,2026-04-11:03-15-24,2026-03-02:01-53-27,MIT,"Workflow automation system for Claude with a group of useful plugins, agents, and skills. Automates task-to-production workflows, PR management, code cleanup, performance investigation, drift detection, and multi-agent code review. Includes [agnix](https://github.com/avifenesh/agnix) for linting agent configurations. Built on thousands of lines of code with thousands of tests. Uses deterministic detection (regex, AST) with LLM judgment for efficiency. Used on many production systems.",FALSE,FALSE,2026-01-15:09-32-54,2026-04-11:03-17-59,v5.8.3,github-releases
skill-bd56dc67,"AI Agent, AI Spy",Agent Skills,General,https://youtu.be/0ANECpNdt-4,,Whittaker & Tiwari,https://signalfoundation.org/,TRUE,2026-01-27:18-06-06,,2026-03-02:01-53-29,No License / Not Specified,"Members from the Signal Foundation with some really great tips and tricks on how to turn your operating system into an instrument of total surveillance, and why some companies are doing this really awesome thing. [warning: YouTube link]",FALSE,FALSE,,,,
skill-35039a54,Book Factory,Agent Skills,General,https://github.com/robertguss/claude-skills,https://robertguss.github.io/claude-skills/,Robert Guss,https://github.com/robertguss,TRUE,2026-02-08:14-56-56,2026-03-22:19-14-05,2026-03-02:01-53-32,MIT,A comprehensive pipeline of Skills that replicates traditional publishing infrastructure for nonfiction book creation using specialized Claude skills.,FALSE,FALSE,2026-01-19:17-01-57,,,
skill-a9ada349,cc-devops-skills,Agent Skills,General,https://github.com/akin-ozer/cc-devops-skills,,akin-ozer,https://github.com/akin-ozer,TRUE,2026-01-30:13-53-47,2026-03-27:07-54-56,2026-03-02:01-53-34,Apache-2.0,"Immensely detailed set of skills for DevOps Engineers (or anyone who has to deploy code, really). Works with validations, generators, shell scripts and CLI tools to create high quality IaC code for about any platform you've ever struggled painfully to work with. Worth downloading even just as a source of documentation.",FALSE,FALSE,2025-12-05:11-53-24,2026-03-04:06-44-32,v1.0.0,github-releases
skill-448a4572,Claude Code Agents,Agent Skills,General,https://github.com/undeadlist/claude-code-agents,,Paul - UndeadList,https://github.com/undeadlist,TRUE,2026-02-11:20-41-43,2026-03-22:00-38-28,2026-03-02:01-53-37,MIT,"Comprehensive E2E development workflow with helpful Claude Code subagent prompts for solo devs. Run multiple auditors in parallel, automate fix cycles with micro-checkpoint protocols, and do browser-based QA. Includes strict protocols to prevent AI going rogue.",FALSE,FALSE,2025-12-24:06-47-31,,,
skill-50f919d5,Claude Codex Settings,Agent Skills,General,https://github.com/fcakyon/claude-codex-settings,,fatih akyon,https://github.com/fcakyon,TRUE,2025-12-18:05-04-59,2026-04-11:23-08-34,2026-03-02:01-53-40,Apache-2.0,"A well-organized, well-written set of plugins covering core developer activities, such as working with common cloud platforms like GitHub, Azure, MongoDB, and popular services such as Tavily, Playwright, and more. Clear, not overly-opinionated, and compatible with a few other providers.",FALSE,FALSE,2025-07-09:07-46-08,2026-03-24:07-14-26,v2.3.0,github-releases
skill-aeb4b7fa,Claude Mountaineering Skills,Agent Skills,General,https://github.com/dreamiurg/claude-mountaineering-skills,,Dmytro Gaivoronsky,https://github.com/dreamiurg,TRUE,2025-12-18:05-53-27,2026-03-29:19-00-43,2026-03-02:01-53-43,MIT,"Claude Code skill that automates mountain route research for North American peaks. Aggregates data from 10+ mountaineering sources like Mountaineers.org, PeakBagger.com and SummitPost.com to generate detailed route beta reports with weather, avalanche conditions, and trip reports.",FALSE,FALSE,2025-10-21:04-45-27,2026-01-30:09-50-19,v4.0.2,github-releases
skill-53ad2e70,Claude Scientific Skills,Agent Skills,General,https://github.com/K-Dense-AI/claude-scientific-skills,,K-Dense,https://github.com/K-Dense-AI/,TRUE,2026-03-02:13-30-22,2026-04-13:00-44-14,2026-03-02:13-30-22,MIT,"""A set of ready-to-use Agent Skills for research, science, engineering, analysis, finance and writing."" That's their description - modest, simple. That's how you can tell this is really one of the best skills repos on GitHub. If you've ever thought about getting a PhD... just read all of these documents instead. Also I think it IS an AI agent or something? Awesome.",FALSE,FALSE,2025-10-19:20-54-16,2026-04-13:00-44-28,v2.37.1,github-releases
skill-faba0faa,Codex Skill,Agent Skills,General,https://github.com/skills-directory/skill-codex,,klaudworks,https://github.com/klaudworks,TRUE,2025-10-27:13-24-10,2026-04-10:08-15-32,2026-03-02:01-53-45,MIT,"Enables users to prompt codex from claude code. Unlike the raw codex mcp server, this skill infers parameters such as model, reasoning effort, sandboxing from your prompt or asks you to specify them. It also simplifies continuing prior codex sessions so that codex can continue with the prior context.",FALSE,FALSE,2025-10-21:19-38-10,,,
skill-bff92ab6,Compound Engineering Plugin,Agent Skills,General,https://github.com/EveryInc/compound-engineering-plugin,,EveryInc,https://github.com/EveryInc,TRUE,2026-01-22:13-46-43,2026-04-13:03-16-09,2026-03-02:01-53-48,MIT,"A very pragmatic set of well-designed agents, skills, and commands, built around a discipline of turning past mistakes and errors into lessons and opportunities for future growth and improvement. Good documentation.",FALSE,FALSE,2025-10-09:20-37-38,2026-04-11:00-44-41,compound-engineering-v2.65.0,github-releases
skill-e5b92436,Context Engineering Kit,Agent Skills,General,https://github.com/NeoLabHQ/context-engineering-kit,https://github.com/NeoLabHQ/context-engineering-kit?tab=readme-ov-file#reflexion,Vlad Goncharov,https://github.com/LeoVS09,TRUE,2025-12-06:14-29-49,2026-04-06:00-48-04,2026-03-02:01-53-51,GPL-3.0,Hand-crafted collection of advanced context engineering techniques and patterns with minimal token footprint focused on improving agent result quality.,FALSE,FALSE,2025-11-13:23-23-04,2026-04-06:00-48-27,v2.2.3,github-releases
